sheet_row,feature,status,confidence,evidence,sources,screenshot_url,screenshot_target,caveats
81,Exercise files,VERIFIED,high,"Official help: downloadable exercise files (project files/documents) under the course Overview tab, on desktop and mobile app; included at author discretion, so not on every course.",https://www.linkedin.com/help/learning/answer/a702845/downloading-linkedin-learning-exercise-files ; https://www.linkedin.com/help/learning/answer/a704766/linkedin-learning-exercise-files-faq,https://www.linkedin.com/help/learning/answer/a702845/downloading-linkedin-learning-exercise-files,Exercise Files,
82,Chapter quizzes,VERIFIED,high,"Official help and course tutorials: optional multiple-choice chapter quizzes (""Chapter Quiz"" section) with unlimited retakes and wrong-answer pointers back to the relevant video; not present in all courses.",https://www.linkedin.com/help/learning/answer/a702857 ; https://www.linkedin.com/help/learning/answer/a701847/,https://www.linkedin.com/help/learning/answer/a702857,quiz,
83,In-course Q&A & community,VERIFIED,high,"Official Q&A FAQ: real-time, timestamped course Q&A tab with @-tagging of instructors/connections, answered by instructors or fellow learners; separate Learning Groups continue discussion beyond the course.",https://www.linkedin.com/help/learning/answer/a703896 ; https://www.linkedin.com/business/learning/blog/new-courses/announcing-question-and-answer-feature-on-linkedin-learning ; https://www.linkedin.com/help/learning/answer/a700990/linkedin-learning-groups-faq,https://www.linkedin.com/help/learning/answer/a703896,Q&A,
84,AI profile writing assistant,VERIFIED,high,"Official help ""Enhance your profile with LinkedIn's AI-powered writing assistant"": personalized Headline/About suggestions for Premium subscribers. Caveat: currently limited to a select group of Premium subscribers in 5 languages.",https://www.linkedin.com/help/linkedin/answer/a1444194 ; https://www.linkedin.com/help/linkedin/answer/a7146413,https://www.linkedin.com/help/linkedin/answer/a1444194,writing assistant,"Rollout-gated: ""select group"" of Premium subscribers; Headline and About sections only."
85,AI interview prep with feedback,VERIFIED,high,"Official help ""Get instant AI feedback to improve your interview answers"": record video/written practice answers and get AI feedback on pace, filler words, sensitive phrases and answer tips; expert sample answers for Premium members; private unless shared.",https://www.linkedin.com/help/linkedin/answer/a549539 ; https://www.makeuseof.com/use-linkedin-interview-prep/,https://www.linkedin.com/help/linkedin/answer/a549539,interview,
86,Jobseeker Coach (conversational),VERIFIED,high,"GPT-4-powered conversational job-search coach for Premium: chat about open roles, fit vs. your profile, skills to close gaps, and company background (launched Nov 2023 with LinkedIn's 1B-member announcement; expanded with AI job search tools in 2025).",https://www.cnbc.com/2023/11/01/linkedins-new-ai-chatbot-wants-to-help-you-get-a-job-.html ; https://premium.linkedin.com/careers/career ; https://www.forbes.com/sites/torconstantino/2025/06/02/linkedin-launches-ai-job-search-tool-for-premium-users/,https://premium.linkedin.com/careers/career,job,
87,AI job-match insights,VERIFIED,high,"Job Match (launched early 2025): LLM-based match score on every job listing with qualification breakdown; Premium adds High/Medium/Low ratings, applicant comparison, and ""Top Applicant"" placement — the AI fit-read the sheet describes.",https://premium.linkedin.com/careers/career ; https://blog.theinterviewguys.com/linkedins-new-ai-job-match-tool/,https://premium.linkedin.com/careers/career,Job Match,
88,Offline viewing (mobile),VERIFIED,high,"Official help: download courses/videos in the mobile app for offline viewing (app-only, active subscription required; 30-day re-authentication window).",https://www.linkedin.com/help/learning/answer/a703775/downloading-and-viewing-learning-videos-offline,https://www.linkedin.com/help/learning/answer/a703775/downloading-and-viewing-learning-videos-offline,offline,
89,Audio-only mode,VERIFIED,high,"Audio-only toggle in the mobile app plus a dedicated audio course format (Type > Audio filter), including book summaries and podcast-style content — podcast-style playback as the sheet describes.",https://blog.smu.edu/itconnect/2026/01/22/commute-linkedin-learning-audio-only-courses/ ; https://link.ucop.edu/2021/07/13/tune-in-to-professional-development-audio-content-from-linkedin-learning/,https://www.linkedin.com/learning/,Audio,
90,LinkedIn Skill Assessments & verified skill badges,VERIFIED,high,"Official help page live; timed multiple-choice tests tied to profile Skills; pass (top 30% threshold) earns a verified badge, private by default, free of charge; 2026 guides confirm the program is active with new assessment categories added.",https://www.linkedin.com/help/linkedin/answer/a507663 ; https://jobright.ai/blog/linkedin-learning-certifications-guide/,https://www.linkedin.com/help/linkedin/answer/a507663,Skill Assessment,
91,Professional Certificates,VERIFIED,high,"Official Professional Certificates program with partner-built credentials (Microsoft, Zendesk, Twilio and more): courses + assessment, shareable credential; dedicated catalog topic page and help FAQ — matches the sheet's partner list.",https://www.linkedin.com/learning/topics/professional-certificates ; https://www.linkedin.com/help/learning/answer/a1433885 ; https://www.zendesk.com/newsroom/articles/zendesk-and-linkedin-learning/,https://www.linkedin.com/learning/topics/professional-certificates,Professional Certificate,
92,Certification prep (120+ external credentials),VERIFIED,high,"Official Certifications & Credentials program: 2,000+ courses preparing learners for 120+ off-platform exams across four credential types (500+ dedicated cert-prep courses), with a public partner directory — matches the sheet's figures.",https://learning.linkedin.com/certifications-and-credentials ; https://business.linkedin.com/learn/certifications-and-credentials,https://learning.linkedin.com/certifications-and-credentials,120,
93,Code Challenges (CoderPad),VERIFIED,high,"CoderPad partnership live since fall 2023: 30+ interactive code-challenge courses (Python, Java, SQL, JavaScript, C#, Go) with in-browser execution, auto-feedback and hints; official topic page and learner/admin FAQs.",https://www.linkedin.com/learning/topics/hands-on-practice-with-code-challenges ; https://www.linkedin.com/help/learning/answer/a1649756 ; https://coderpad.io/blog/announcements/coderpad-partners-with-linkedin-learning-to-offer-learners-interactive-hands-on-coding-practice/,https://www.linkedin.com/learning/topics/hands-on-practice-with-code-challenges,Code Challenge,
94,GitHub Codespaces & GitHub Models integration,PARTIALLY VERIFIED,medium,"GitHub Codespaces integration fully confirmed: 50+ courses with real dev environments across 3 practice tiers (Hands-On Introduction, Practice It, Level Up), official topic page + admin FAQ. The ""GitHub Models"" half of the claim was NOT independently confirmed in this run — no official page found tying GitHub Models to LinkedIn Learning courses.",https://www.linkedin.com/learning/topics/hands-on-practice-with-github-codespaces ; https://www.linkedin.com/help/learning/answer/a1351348 ; https://www.linkedin.com/business/learning/blog/productivity-tips/introducing-new-ways-you-can-accelerate-your-career-in-tech-with-linkedin-learning-and-github-codespaces,https://www.linkedin.com/learning/topics/hands-on-practice-with-github-codespaces,GitHub Codespaces,Verify the GitHub Models sub-claim on the live catalog; Codespaces alone is solid.
95,Cybersecurity Training Labs (Hack the Box),VERIFIED,high,Announced Nov 2025: Hack The Box is LinkedIn Learning's first cybersecurity training-labs partner; curated threat-informed HTB Academy labs embedded directly in LinkedIn Learning with no extra logins or software.,https://www.businesswire.com/news/home/20251105904582/en/Hack-The-Box-Powers-First-Cybersecurity-Training-Labs-in-LinkedIn-Learning-to-Close-Workforce-Readiness-Gap ; https://www.hackthebox.com/blog/hack-the-box-linkedin-learning-cybersecurity-labs,https://www.hackthebox.com/blog/hack-the-box-linkedin-learning-cybersecurity-labs,LinkedIn Learning,
96,AI role-play scenarios,VERIFIED,high,"AI Role Play confirmed on consumer Premium (official coaching page) and widely deployed via universities/enterprise: 9 workplace scenarios, customizable AI persona (tone/attitude/difficulty), voice or text, private transcripts, post-session feedback.",https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching ; https://link.ucop.edu/2025/04/22/practice-tough-conversations-with-ai-powered-role-play/ ; https://learn.microsoft.com/en-us/viva/learning/learning-agent-roleplay-linkedin,https://learning.linkedin.com/resources/learner-engagement/linkedin-learning-ai-powered-coaching,role play,"Sheet's ""verify consumer availability"" note: resolved — Premium subscribers get it per LinkedIn's own coaching page."
97,Authors' Office Hours (live),VERIFIED,high,"Official LinkedIn blog + Learning help FAQ: Office Hours are live instructor-hosted events with real-time Q&A, comments and reactions, plus on-demand replays of past events.",https://blog.linkedin.com/2021/september/1/learn-from-experts-in-real-time-with-office-hours ; https://www.linkedin.com/help/learning/answer/a707102,https://www.linkedin.com/help/learning/answer/a707102,Office Hours,
98,Learning path completion badges,VERIFIED,medium,"A badge is awarded on completing a learning path, but LinkedIn's help notes the badge itself cannot be shared — the shareable artifact is the path's Certificate of Completion (downloadable, addable to profile). The sheet's claim is accurate as stated; add the non-shareable caveat.",https://www.linkedin.com/help/learning/answer/a700836 ; https://www.linkedin.com/help/linkedin/answer/a704787/add-learning-certificates-of-completion-and-skills-to-your-linkedin-profile,https://www.linkedin.com/help/learning/answer/a700836,learning path,Badge is not shareable; certificates are.
99,"Multi-format content (text, audio, nano)",VERIFIED,medium,"Confirmed formats beyond video: 450+ Nano Tips micro-videos, audio-only courses (Type > Audio filter), and text-based learning alongside long-form video, per LinkedIn Learning catalog and product-overview materials.",https://www.linkedin.com/learning/ ; https://business.linkedin.com/learn/content-library,https://www.linkedin.com/learning/,Nano,
100,Free access via public libraries,VERIFIED,high,"Hundreds of US library systems (NYPL, LAPL, Cleveland, Las Vegas-Clark County, etc.) offer full LinkedIn Learning access with a library card number + PIN, no LinkedIn account required; LinkedIn maintains an official ""Learning for Library patrons"" help page.",https://www.linkedin.com/help/learning/answer/a705966 ; https://www.nypl.org/collections/articles-databases/lyndacom ; https://www.lapl.org/linkedin-learning,https://www.linkedin.com/help/learning/answer/a705966,library,
101,"Notes, playlists & interactive transcripts",VERIFIED,high,"Notebook tab with video-timestamped notes exportable as .txt; Saved courses and Collections; interactive transcripts beside the player with clickable sentences that jump the video, plus transcript keyword search.",https://www.linkedin.com/learning/how-to-use-linkedin-learning/taking-notes-14577532 ; https://libguides.mcmaster.ca/linkedinlearning/features,https://www.linkedin.com/learning/,Transcript,
