sheet_row,feature,status,confidence,evidence,sources,screenshot_url,screenshot_target,caveats
16,Guided Projects,VERIFIED,high,Learn a job-relevant skill in under 2 hours in a split-screen interface with a pre-configured cloud desktop in the browser; priced from $9.99; live catalog page on coursera.org.,https://www.coursera.org/courses?query=guided+projects ; https://medium.com/@cyril_anderson/hands-on-with-coursera-guided-projects-53dd056daa66,https://www.coursera.org/courses?query=guided+projects,Guided Project,
17,Specializations (multi-course series),VERIFIED,high,3–6 course series building to a capstone/hands-on project; most run on subscription with a 7-day free trial; capstone typically gated on completing the other courses.,https://www.coursera.org/articles/what-is-coursera ; https://www.classcentral.com/help/what-are-coursera-specializations,https://www.coursera.org/articles/what-is-coursera,Specialization,"Sheet ""TO CONFIRM"" note on some Google Prof Certs excluded from Plus remains open — needs an on-platform enrollment check."
18,Professional Certificates (industry-built programs),VERIFIED,high,"Job-ready credentials built by Google, IBM, Meta, Microsoft; 150+ programs; designed to take beginners to entry-level employment in 3–8 months; 30+ carry ACE/ECTS/NSQF credit recommendations.",https://www.coursera.org/certificates/prepare-for-a-certification ; https://investor.coursera.com/news/news-details/2024/Twelve-Google-and-IBM-Professional-Certificates-on-Coursera-Receive-ECTS-Credit-Recommendations/default.aspx ; https://blog.coursera.org/coursera-microcredential-momentum,https://www.coursera.org/professional-certificates/google-it-support,Professional Certificate,
19,Graded quizzes,VERIFIED,high,"Audit mode excludes graded items; quizzes counting toward completion and certificates unlock with paid enrollment/Plus — matches sheet tiering (""Audit = view materials only"").",https://www.coursmos.com/audit-coursera-courses/ ; https://www.classcentral.com/report/coursera-signup-for-free/,https://www.coursera.org/learn/machine-learning,quiz,
20,Auto-graded programming assignments,VERIFIED,medium,Programming assignments auto-graded in-platform (standard on programming courses; e.g. DeepLearning.AI publishes its dlai-grader autograder); paid-tier gating same as quizzes.,https://www.quora.com/How-are-assigments-and-assessments-on-Coursera-graded ; https://pypi.org/project/dlai-grader/1.2.0,https://www.coursera.org/learn/python,assignment,
21,Peer-reviewed assignments,VERIFIED,high,"Class Central (2026): 3,302 of 13,346 active Coursera courses (25%) include peer-reviewed assessments; learners grade ~3 peer submissions against instructor rubrics.",https://www.classcentral.com/report/courses-with-peer-reviews/ ; https://blog.coursera.org/ai-grading-in-peer-reviews-enhancing-courseras-learning-experience-with-faster-high-quality-feedback/,https://www.classcentral.com/report/courses-with-peer-reviews/,peer,
22,Discussion forums,VERIFIED,high,Per-course discussion boards are a documented core feature (threads with posts and comments); audit learners get some forum access.,https://www.andrewhuwong.com/coursera-discussion-board-evaluation ; https://online.duke.edu/coursera-forums-why-students-dont-like-to-have-graded-discussions-4/,https://www.coursera.support/s/community,discussion,
23,Shareable course certificates,VERIFIED,high,"Digital credential with unique verification URL and one-click ""Add to LinkedIn"" into Licenses & Certifications; paid enrollments only (audits earn none) — matches sheet tiering.",https://blog.coursera.org/add-coursera-accomplishments-to-your-linkedin ; https://certfusion.com/r/coursera-shareable-certificates-explained-everything-you-need-to-know,https://www.coursera.org/courseraplus,certificate,
24,MasterTrack certificates,VERIFIED,high,"Still live in 2026: coursera.org/mastertrack active, dedicated help-center topic exists, and 6 new MasterTracks from Indian universities launched Jan 27, 2026. Caveat: some legacy programs migrated/renamed (e.g. U-M Social Work MasterTrack closed to new registration Oct 2024, relaunched off-platform Jan 2025).",https://www.coursera.org/mastertrack ; https://www.coursera.support/s/topic/0TO8W000000y5ycWAA/mastertrack-certificate ; https://www.classcentral.com/microcredentials/coursera-master-track,https://www.coursera.org/mastertrack,MasterTrack,Program churn: verify the specific MasterTracks you cite are still enrolling.
25,Online degrees,VERIFIED,high,"Full online bachelor's/master's from accredited universities with separate admission and tuition (e.g. UIUC MS Management $13,644; pay-as-you-go options) — coursera.org/degrees is live.",https://www.coursera.org/degrees ; https://www.coursera.org/degrees/masters,https://www.coursera.org/degrees,degree,
26,Weekly learning goals,VERIFIED,high,"Official Coursera Help Center topic ""Weekly goal"" exists; app supports daily/weekly goal setting with a progress tracker in the dashboard.",https://www.coursera.support/s/topic/0TOVH0000009Cuo4AE ; https://www.entrepreneursera.com/coursera-app/,https://www.coursera.support/s/topic/0TOVH0000009Cuo4AE,Weekly goal,
27,Streaks,PARTIALLY VERIFIED,low,"Weekly-goal tracking is confirmed (official help topic), but no public Coursera page naming a ""streak"" mechanic was found in this run — the streak UI appears inside the logged-in app experience. Needs an in-app screenshot to close.",https://www.coursera.support/s/topic/0TOVH0000009Cuo4AE,https://www.coursera.support/s/topic/0TOVH0000009Cuo4AE,streak,Could not verify from public web; check the mobile app home screen (streak widget) when capturing screenshots.
28,Study reminders,VERIFIED,medium,Coursera blog announced mobile learning reminders (transcripts/notes/reminders release); the app lets users schedule a time to learn with reminder notifications.,https://blog.coursera.org/new-mobile-features-transcripts-notes-reminders ; https://emmardesigns.com/coursera-case-study/,https://blog.coursera.org/new-mobile-features-transcripts-notes-reminders,reminder,
29,Mobile apps (iOS/Android),VERIFIED,high,Official Coursera apps on the Apple App Store and Google Play with the full course experience.,https://podcasts.apple.com/us/podcast/the-coursera-podcast/id1708599019 ; https://blog.coursera.org/this-holiday-season-learn-on-the-go-with-the-new/ ; https://www.classcentral.com/help/coursera-mobile-app,https://apps.apple.com/us/app/coursera-build-new-skills/id736535961,Coursera,
30,Offline downloads,VERIFIED,high,"Course videos downloadable for offline viewing on iOS (""Download Videos"") and Android (""Save for Offline""); graded quizzes, peer reviews, proctored exams, and labs excluded.",https://blog.coursera.org/mobile-offline-features ; https://www.classcentral.com/help/coursera-mobile-app,https://blog.coursera.org/mobile-offline-features,offline,
31,Course library & catalog,VERIFIED,high,"coursera.org/courseraplus page title: ""Unlimited Access to 10000+ Online Courses""; 350+ university/company partners; Plus covers 90%+ of courses, Projects, Specializations and Professional Certificates — matches the sheet's updated 10,000+/350+/90% figures.",https://www.coursera.org/courseraplus ; https://www.coursera.org/articles/what-is-coursera,https://www.coursera.org/courseraplus,"10,000",
32,Career Academy (role explorer),VERIFIED,high,"coursera.org/career-academy is live; salary and job-opening data sourced from the US Lightcast Job Postings Report per the official Career Academy FAQ (e.g. $90,500 median / 82,489 openings for data analytics). Role count discrepancy: one snapshot shows 52 career options vs the sheet's 60 (blog said ""60 in-demand roles"") — count drifts over time.",https://www.coursera.org/career-academy ; https://www.coursera.support/s/article/learner-000001684,https://www.coursera.org/career-academy,salary,Role count varies by snapshot (52 vs 60); re-count on screenshot day.
33,Career Academy (sponsored catalog),VERIFIED,high,"Official FAQ: ""Career Academy is for learners who are part of a learning program that is sponsored by your company or institution"", granting entry-level Professional Certificates; numerous sponsor pages (Chico State, UTRGV, SJSU, LSU, UTEP) confirm free access is gated to sponsored populations — confirms the sheet's ""not available to direct consumers"" flag.",https://www.coursera.support/s/article/learner-000001684 ; https://link.utrgv.edu/career-academy/ ; https://www.csuchico.edu/alumni/coursera-career-academy/index.shtml,https://www.coursera.support/s/article/learner-000001684,sponsored,
34,Career resource hub & aptitude test,VERIFIED,high,"coursera.org/resources (""Career Resource Hub: Free Tools to Shape Your Career"") and the free career quiz at coursera.org/resources/career-quiz (aptitude test across six professional domains) are both live and public.",https://www.coursera.org/resources ; https://www.coursera.org/resources/career-quiz,https://www.coursera.org/resources/career-quiz,career,
35,Third-party cert alignment & exam discounts,VERIFIED,medium,"Google IT Support ↔ CompTIA A+ alignment with 30% exam discount confirmed (Coursera blog, grow.google, live support threads; discounted price $177.10 matches the sheet). Caveat: sources differ on the base price ($253 vs sheet's $274 from the 8/3/26 article — CompTIA raised prices). The Microsoft 50%-off voucher sub-claim was not directly confirmed this run.",https://blog.coursera.org/get-ready-to-launch-a-career-in-it-support-with-google-and-comptia ; https://grow.google/certificates/it-support/ ; https://www.coursera.org/professional-certificates/google-it-support,https://www.coursera.org/professional-certificates/google-it-support,CompTIA,Microsoft 50% voucher: verify against the msfthub page cited in the sheet.
36,Partner-funded scholarships,VERIFIED,high,"Universal Access to Microsoft Skills Scholarship with Women in Cloud confirmed: 5,000 recipients, all Microsoft Specializations & Professional Certificates ($6,000 stated value), complimentary Microsoft certification exam voucher on completing a full Professional Certificate (businesswire, Coursera blog, Women in Cloud application portal). Caveat: application portal is labeled 2024–25; whether applications remain open in Aug 2026 unconfirmed.",https://www.businesswire.com/news/home/20240520977028/en/ ; https://blog.coursera.org/announcing-four-new-entry-level-certificates-and-universal-skills-scholarship-program-from-microsoft-to-help-learners-land-in-demand-jobs ; https://skills.womenincloud.com/apply/2024-25-global-microsoft-scholarship,https://blog.coursera.org/announcing-four-new-entry-level-certificates-and-universal-skills-scholarship-program-from-microsoft-to-help-learners-land-in-demand-jobs,scholarship,"Confirm the application window is still open before citing ""applications open""."
37,Learner community (standalone),VERIFIED,high,"Platform-wide Coursera Community (launched late 2018) exists separately from per-course forums, with subject boards and Common Rooms; official community pages live on coursera.support.",https://www.coursera.support/s/community ; https://www.classcentral.com/report/coursera-community/ ; https://blog.coursera.org/join-courseras-new-community,https://www.coursera.support/s/community,Community,
38,Accessibility statement,VERIFIED,high,"Official ""Coursera's accessibility policy"" help article: commitment to access for learners with disabilities, WCAG 2.2 AA target, captioning on all lecture videos, accessibility email alias, plus a separate accommodations-request article.",https://www.coursera.support/s/article/learner-000001351 ; https://www.coursera.support/s/article/learner-000001416,https://www.coursera.support/s/article/learner-000001351,accessibility,
39,Coursera Podcast,VERIFIED,high,"""The Coursera Podcast"" is live on Spotify and Apple Podcasts with recent episodes (guests incl. Moderna's Chief Learning Officer, Class Central's CEO, Dr. Barbara Oakley).",https://podcasts.apple.com/us/podcast/the-coursera-podcast/id1708599019 ; https://creators.spotify.com/pod/profile/the-coursera-podcast/episodes/Learning-About-Learning-with-Barbara-Oakley-e2adfbs,https://podcasts.apple.com/us/podcast/the-coursera-podcast/id1708599019,The Coursera Podcast,
