sheet_row,feature,status,confidence,evidence,sources,screenshot_url,screenshot_target,caveats
53,Certificate of completion,VERIFIED,high,"Official FAQ: completion certificate on finished paid courses (PDF/JPG download); free courses and practice-test-only courses get no certificate (except pre-March-2020 free enrollments) — exactly matches the sheet's ""Free Tutorials exclude certificates"".",https://support.udemy.com/hc/en-us/articles/14291607637015-Certificates-of-Completion-Frequently-Asked-Questions ; https://support.udemy.com/hc/en-us/articles/360040701614-The-Free-Course-Experience,https://support.udemy.com/hc/en-us/articles/14291607637015-Certificates-of-Completion-Frequently-Asked-Questions,certificate of completion,
54,Course Q&A board,VERIFIED,high,"Official docs: per-course Q&A below the player with instructor/TA answers, Featured Questions, upvote-based prioritization; free-course changes (2020) limited Q&A on free tier — matches ""Limited"" tiering.",https://support.udemy.com/hc/en-us/articles/229233387-How-to-Ask-a-Question-About-a-Course-You-re-Taking ; https://support.udemy.com/hc/en-us/articles/229606328-Instructor-Q-A-Dashboard ; https://teach.udemy.com/changes-free-courses/,https://support.udemy.com/hc/en-us/articles/229233387-How-to-Ask-a-Question-About-a-Course-You-re-Taking,Q&A,
55,Direct instructor messaging,VERIFIED,high,Official docs: only enrolled students on paid courses can DM the instructor (if the instructor has messaging enabled); not available on free courses or in the mobile app — matches sheet tiering.,https://support.udemy.com/hc/en-us/articles/229232987-Direct-Messages-Rules-and-Guidelines ; https://support.udemy.com/hc/en-us/articles/229231387-Instructors-How-to-Manage-The-Direct-Messaging-Tool,https://support.udemy.com/hc/en-us/articles/229232987-Direct-Messages-Rules-and-Guidelines,Direct Messag,Instructors can disable messaging; not on mobile.
56,Closed captions & auto-subtitles,VERIFIED,high,"Official docs: CC icon in the player with caption settings; auto-generated subtitles (speech recognition) in English, Spanish, Portuguese, marked ""auto-generated""; instructors can upload/edit .vtt captions.",https://support.udemy.com/hc/en-us/articles/229605028-How-to-Use-Subtitles-Transcripts-on-a-Browser ; https://support.udemy.com/hc/en-us/articles/115010239888-Instructors-Auto-Generated-Subtitles-Frequently-Asked-Questions,https://support.udemy.com/hc/en-us/articles/229605028-How-to-Use-Subtitles-Transcripts-on-a-Browser,subtitles,
57,Searchable transcripts,VERIFIED,high,"Official docs: Transcripts button at the bottom of the player opens the full text in a side panel with highlighted, auto-scrolling current sentence, easing navigation to relevant content; language follows the selected subtitles.",https://support.udemy.com/hc/en-us/articles/229605028-How-to-Use-Subtitles-Transcripts-on-a-Browser ; https://business-support.udemy.com/hc/en-us/articles/360009110254-Transcripts-to-Reinforce-and-Supplement-Learning,https://support.udemy.com/hc/en-us/articles/229605028-How-to-Use-Subtitles-Transcripts-on-a-Browser,Transcript,Not available on the mobile app/mobile site.
58,Lifetime access,VERIFIED,high,"Official ""Lifetime access"" article: purchased courses stay accessible for life while the account is in good standing and Udemy retains the course license (rare removals for policy/legal/instructor reasons); Personal Plan content only while subscribed — both halves match the sheet.",https://support.udemy.com/hc/en-us/articles/229603708-Lifetime-access ; https://support.udemy.com/hc/en-us/articles/1500002721401-Personal-Plan-Frequently-asked-questions,https://support.udemy.com/hc/en-us/articles/229603708-Lifetime-access,Lifetime access,
59,Offline viewing (mobile),VERIFIED,high,"Official iOS and Android articles: download entire courses, sections, or lectures in the app; downloads are encrypted, app-only, and refresh after ~30 days online; practice tests and some resources excluded.",https://support.udemy.com/hc/en-us/articles/229603928-Downloading-Courses-for-Offline-Viewing-on-The-iOS-App ; https://support.udemy.com/hc/en-us/articles/115006973308-Downloading-courses-for-offline-viewing-on-the-Android-app,https://support.udemy.com/hc/en-us/articles/229603928-Downloading-Courses-for-Offline-Viewing-on-The-iOS-App,offline,
60,Downloadable instructor resources,VERIFIED,high,"Official docs: lectures with resources show a folder icon in the player; instructors attach any filetype (PDF, ZIP, XLS, source code, templates) up to 1 GB per file.",https://support.udemy.com/hc/en-us/articles/229604708-How-to-access-course-resources-on-a-browser ; https://support.udemy.com/hc/en-us/articles/229604868-Adding-Resources-to-Lectures,https://support.udemy.com/hc/en-us/articles/229604708-How-to-access-course-resources-on-a-browser,resources,
61,Marketplace catalog & UGC supply model,VERIFIED,high,"Official Personal Plan FAQ: ""The 26,000 courses included in Personal Plan are curated by Udemy's content experts from our catalog of 250,000 courses"" — matches the sheet's 250,000 marketplace / curated 26k Personal Plan figures exactly.",https://support.udemy.com/hc/en-us/articles/1500002721401-Personal-Plan-Frequently-asked-questions ; https://www.udemy.com/personal-plan/ ; https://www.udemy.com/pricing/,https://www.udemy.com/personal-plan/,courses,
62,"Ratings, reviews & searchable feedback",VERIFIED,high,"5-star ratings (half-stars supported) prompted mid-course; written reviews optional and editable; review section supports keyword search (""Search reviews"") and filtering by star level — including the keyword search the sheet highlights.",https://support.udemy.com/hc/en-us/articles/229234267-How-to-Leave-and-Edit-a-Course-Rating ; https://teach.udemy.com/course-reviews-101/ ; https://support.udemy.com/hc/en-us/articles/229231027-How-to-preview-and-compare-courses,https://support.udemy.com/hc/en-us/articles/229231027-How-to-preview-and-compare-courses,reviews,
63,Instructor profiles & direct contact,VERIFIED,high,"Official docs: instructor bio section on every course landing page; clicking the name opens a profile page with their other courses, aggregate ratings, and (if enabled) a Send message option; Instructor Partner badge shown for program members.",https://support.udemy.com/hc/en-us/articles/229232447-Instructor-Bio-Quality-Standards ; https://support.udemy.com/hc/en-us/articles/229231027-How-to-Preview-And-Compare-Courses,https://support.udemy.com/hc/en-us/articles/229231027-How-to-Preview-And-Compare-Courses,Instructor,
64,Learning reminders,VERIFIED,high,"Official articles for browser and mobile app: schedule once/daily/weekly reminders with time-of-day, push/email delivery, and Google/Apple/Outlook calendar export; reminders manageable on the Learning tools page.",https://support.udemy.com/hc/en-us/articles/4501093209367-How-to-Schedule-Learning-Reminders-on-a-Browser ; https://support.udemy.com/hc/en-us/articles/1500000935721-How-to-Schedule-Learning-Reminders-on-the-Mobile-App,https://support.udemy.com/hc/en-us/articles/4501093209367-How-to-Schedule-Learning-Reminders-on-a-Browser,reminder,
65,Course gifting,VERIFIED,high,"Official ""How to send a Udemy gift"" + gifting FAQ: ""Gift this course"" flow with recipient email, send date and message. Caveats match the sheet: subscriptions (Personal Plan) cannot be gifted; gifting unavailable in the mobile app.",https://support.udemy.com/hc/en-us/articles/229231187-How-to-send-a-Udemy-gift ; https://support.udemy.com/hc/en-us/articles/19069063842839-Sending-gifts-Frequently-asked-questions,https://support.udemy.com/hc/en-us/articles/229231187-How-to-send-a-Udemy-gift,gift,
66,Mobile + connected-TV apps,PARTIALLY VERIFIED,medium,"iOS/Android apps fully confirmed (offline downloads, course player). The connected-TV half is weaker: Udemy's own docs only document casting from the mobile app to Chromecast, Apple TV, and AirPlay-2 smart TVs; no Roku support; no dedicated Fire TV app found. One third-party source mentions an Apple TV app, but Udemy documentation does not.",https://support.udemy.com/hc/en-us/articles/360005889053-How-to-Cast-Udemy-Courses-Via-Your-Mobile-Device ; https://support.udemy.com/hc/en-us/articles/229603928-Downloading-Courses-for-Offline-Viewing-on-The-iOS-App,https://support.udemy.com/hc/en-us/articles/360005889053-How-to-Cast-Udemy-Courses-Via-Your-Mobile-Device,Cast,"Consider rewording the sheet to ""mobile apps + TV casting (Chromecast/AirPlay)"" — ""connected-TV apps"" overstates current support."
67,30-day money-back guarantee,VERIFIED,high,Official refund policy: all eligible course purchases refundable within 30 days (original payment method or credits; not after completing a significant amount). Subscriptions explicitly carry no 30-day guarantee — cancel instead — matching the sheet's framing.,https://support.udemy.com/hc/en-us/articles/360050856093-Udemy-s-Refund-Policy ; https://support.udemy.com/hc/en-us/articles/229604248-How-to-refund-a-course,https://support.udemy.com/hc/en-us/articles/360050856093-Udemy-s-Refund-Policy,30 days,
